job title,agency,department,location,salary,search_keyword
"Interdisciplinary (Project Manager, Military Projects) - Open Continuous",U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Project Manager
Supervisory Project Manager,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (IR 4)",Project Manager
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,"Louisville, Kentucky
                    Louisville, Kentucky","Starting at $82,830 Per Year (GS 12)",Project Manager
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,"Louisville, Kentucky
                    Louisville, Kentucky","Starting at $82,830 Per Year (GS 12)",Project Manager
Architect (Project Manager),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13)",Project Manager
IT PROJECT MANAGER (PLCYPLN),Defense Information Systems Agency,Department of Defense,"Fort Meade, Maryland
                    Fort Meade, Maryland","Starting at $132,368 Per Year (GG 14)",Project Manager
IT Project Manager (PLCYPLN),Defense Logistics Agency,Department of Defense,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $116,393 Per Year (GS 14)",Project Manager
Interdisciplinary (Project Manager),National Park Service,Department of the Interior,Multiple Locations,"Starting at $102,489 Per Year (GS 12)",Project Manager
"Interdisciplinary (Senior Project Manager, Military Projects) - Open Continuous",U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Project Manager
Project Manager/Tribal Liaison,Bureau of Land Management,Department of the Interior,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Project Manager
Project Manager/Tribal Liaison,Bureau of Land Management,Department of the Interior,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Project Manager
General Engineer (Project Manager),"Treasury, Departmental Offices",Department of the Treasury,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Project Manager
Lead Assisted Acquisition Project Manager (1101),Federal Acquisition Service,General Services Administration,"Location Negotiable After Selection,","Starting at $116,393 Per Year (GS 14)",Project Manager
General Engineer (Project Manager),"Treasury, Departmental Offices",Department of the Treasury,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Project Manager
IT Project Manager (Policy & Planning),AmeriCorps,Other Agencies and Independent Organizations,Anywhere in the U.S. (remote job),"Starting at $132,371 Per Year (NY 4)",Project Manager
Supervisory Project Manager,Office of the Chief of Staff of the Army,Department of the Army,"Pentagon, Arlington, Virginia
                    Pentagon, Arlington, Virginia","Starting at $155,700 Per Year (GS 15)",Project Manager
SUPERVISORY IT PROJECT MANAGER (PLCYPLN),U.S. Marine Corps,Department of the Navy,"Camp Foster, Japan
                    Camp Foster, Japan","Starting at $84,546 Per Year (GS 13)",Project Manager
Project Manager (Business Systems Planning Project Manager) 12-Month Register,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (GS 14)",Project Manager
Aerospace Engineering Project Manager,Central Intelligence Agency,Other Agencies and Independent Organizations,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $64,957 Per Year (GS 9-14)",Project Manager
PROGRAM ANALYST (PROJECT MANAGER),U.S. Army Corps of Engineers,Department of the Army,"Walla Walla, Washington
                    Walla Walla, Washington","Starting at $82,830 Per Year (GS 12)",Project Manager
PROGRAM ANALYST (PROJECT MANAGER),U.S. Army Corps of Engineers,Department of the Army,"Walla Walla, Washington
                    Walla Walla, Washington","Starting at $82,830 Per Year (GS 12)",Project Manager
Project Manager (Business Systems Planning Project Manager) 12-Month Roster AMENDED,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (GS 14)",Project Manager
IT Project Manager (Data Management),Environmental Protection Agency,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $155,700 Per Year (GS 15)",Project Manager
Project Manager (Business Systems Planning Project Manager) (Temp NTE 1 Year) 6 Month Roster,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (GS 14)",Project Manager
Interdisciplinary (Project Manager) - Civil Works,U.S. Army Corps of Engineers,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $91,220 Per Year (GS 12)",Project Manager
