job title,agency,department,location,salary,search_keyword
SUBMARINE PRODUCTION MANAGER,United States Fleet Forces Command,Department of the Navy,"Naval Shipyard, Portsmouth, Virginia
                    Naval Shipyard, Portsmouth, Virginia","Starting at $99,714 Per Year (GS 13)",Product Manager
PRODUCTION WORKFORCE MANAGER (SHOP),U.S. Pacific Fleet,Department of the Navy,"Bremerton, Washington
                    Bremerton, Washington","Starting at $92,123 Per Year (GS 12)",Product Manager
Chemical Defense Production Manager,U.S. Army Joint Munitions Command,Department of the Army,"Pine Bluff Arsenal, Arkansas
                    Pine Bluff Arsenal, Arkansas","Starting at $82,830 Per Year (GS 12)",Product Manager
LEAD ACQUISITION PROGRAM MANAGER-DIRECT HIRING AUTHORITY,Department of the Air Force - Agency Wide,Department of the Air Force,"Tinker AFB, Oklahoma
                    Tinker AFB, Oklahoma","Starting at $116,393 Per Year (NH 4)",Product Manager
Depot Production Manager (Aviation System Operations),U.S. Army Aviation and Missile Command,Department of the Army,"Corpus Christi, Texas
                    Corpus Christi, Texas","Starting at $99,003 Per Year (GS 13)",Product Manager
General Supply Specialist,U.S. Army Joint Munitions Command,Department of the Army,"McAlester, Oklahoma
                    McAlester, Oklahoma","Starting at $57,118 Per Year (GS 9)",Product Manager
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Product Manager
IT Specialist (SYSANALYSIS),Office of Administration,Executive Office of the President,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Product Manager
SUPERVISORY ADMINISTRATIVE/TECHNICAL SPECIALIST,Naval Sea Systems Command,Department of the Navy,"Crane, Indiana
                    Crane, Indiana","Starting at $82,830 Per Year (NT 5)",Product Manager
Physical Scientist/General Engineer (Interdisciplinary),U.S. Mint,Department of the Treasury,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $90,893 Per Year (GS 12-14)",Product Manager
Systems Integrator,U.S. Army Acquisition Support Center,Department of the Army,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $120,849 Per Year (NH 4)",Product Manager
INTERDISCIPLINARY ENGINEER/ARCHITECT/COMMUNITY PLANNER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Facilities Engineering Command, Atlantic, Virginia
                    Naval Facilities Engineering Command, Atlantic, Virginia","Starting at $83,854 Per Year (GS 12-13)",Product Manager
International Trade and Finance Specialist,Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $99,908 Per Year (GS 14)",Product Manager
"Senior IT Specialist (Policy/Planning), CG-2210-14",Federal Deposit Insurance Corporation,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $136,582 Per Year (CG 14)",Product Manager
ADMINISTRATIVE/TECHNICAL SPECIALIST,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $83,854 Per Year (NT 5)",Product Manager
Social Worker - Program Manager - Mental Health Service Chief,Veterans Health Administration,Department of Veterans Affairs,"Columbia, Missouri
                    Columbia, Missouri","Starting at $127,702 Per Year (GS 14)",Product Manager
"Senior IT Specialist (Policy/Planning), CG-2210-14",Federal Deposit Insurance Corporation,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $136,582 Per Year (CG 14)",Product Manager
Experience Specialist,U.S. Marine Corps,Department of the Navy,"Quantico, Virginia
                    Quantico, Virginia",Starting at $16 Per Hour (NF 02),Product Manager
International Trade and Finance Specialist,Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $99,908 Per Year (GS 14)",Product Manager
EXPERIENCE SPECIALIST (NORTHSIDE MARINE MART SHIFT LEAD) NF-02 RFT (LOCAL COMMUTING AREA ONLY),U.S. Marine Corps,Department of the Navy,"Iwakuni, Japan
                    Iwakuni, Japan",Starting at $17 Per Hour (NF 02),Product Manager
Sales Specialist,U.S. Marine Corps,Department of the Navy,"Quantico, Virginia
                    Quantico, Virginia",Starting at $16 Per Hour (NF 02),Product Manager
Factory Manager (Factory Manager Trainee-UNICOR),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Lompoc, California
                    Lompoc, California","Starting at $80,015 Per Year (GL 11)",Product Manager
SENIOR SALES ASSOCIATE NF2 - HIRING EVENT AT PACIFIC VIEWS MCX,U.S. Marine Corps,Department of the Navy,"Oceanside, California
                    Oceanside, California",Starting at $18.61 Per Hour (NF 02),Product Manager
RETAIL SALES SPECIALIST NF2,U.S. Marine Corps,Department of the Navy,"Beaufort, South Carolina
                    Beaufort, South Carolina",Starting at $16.65 Per Hour (NF 02),Product Manager
GENERAL ENGINEER,United States Army Futures Command,Department of the Army,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $120,849 Per Year (DB 4)",Product Manager
Interdisciplinary Project Manager - Direct Hire,U.S. Army Corps of Engineers,Department of the Army,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12-13)",Product Manager
"OPERATIONS ASSOCIATE, NF-2",U.S. Marine Corps,Department of the Navy,"Marine Corps Air Station Miramar, California
                    Marine Corps Air Station Miramar, California",Starting at $19.56 Per Hour (NF 02),Product Manager
OPS ASSOC NF2*,U.S. Marine Corps,Department of the Navy,"Havelock, North Carolina
                    Havelock, North Carolina",Starting at $16 Per Hour (NF 02),Product Manager
Equipment Specialist (Fire),Forest Service,Department of Agriculture,"San Dimas, California
                    San Dimas, California","Starting at $54,067 Per Year (GS 7-9)",Product Manager
Quality Assurance Specialist,"Executive Director, Office of Acquisition and Logistics",Department of Veterans Affairs,"Golden, Colorado
                    Golden, Colorado","Starting at $51,726 Per Year (GS 7-9)",Product Manager
EXPERIENCE SPECIALIST NF-2 NORTHERN LOCATIONS- $150 HIRING BONUS,U.S. Marine Corps,Department of the Navy,"Oceanside, California
                    Oceanside, California",Starting at $19.11 Per Hour (NF 02),Product Manager
Interdisciplinary Project Manager,U.S. Army Corps of Engineers,Department of the Army,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12-13)",Product Manager
