job title,agency,department,location,salary,search_keyword
Health Systems Specialist (Credentialing & Privileging Analyst),Veterans Health Administration,Department of Veterans Affairs,"Lexington, Kentucky
                    Lexington, Kentucky","Starting at $57,118 Per Year (GS 9)",Data Analyst
Medicaid Long-Term Services and Supports Senior Analyst,Medicaid and CHIP Payment and Access Commission,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $100,000 Per Year (GS 00)",Data Analyst
Program Analyst,"Justice, Office of the Inspector General",Department of Justice,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $64,957 Per Year (GS 9-11)",Data Analyst
Supervisory Program Analyst,Office of Personnel Management,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Data Analyst
Supervisory Program Analyst,Office of Personnel Management,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Data Analyst
Supervisory Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $99,908 Per Year (GS 14)",Data Analyst
Interdisciplinary,United States Army Futures Command,Department of the Army,"Austin, Texas
                    Austin, Texas","Starting at $119,290 Per Year (GS 14)",Data Analyst
Operations Research Analyst,Citizenship and Immigration Services,Department of Homeland Security,Anywhere in the U.S. (remote job),"Starting at $84,546 Per Year (GS 13-14)",Data Analyst
Business Process Analyst,Defense Logistics Agency,Department of Defense,"Fort Belvoir, Virginia
                    Fort Belvoir, Virginia","Starting at $132,368 Per Year (GS 14)",Data Analyst
Supervisory Management and Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Data Analyst
Program Analyst - Dashboard Development,Veterans Health Administration,Department of Veterans Affairs,"Denver, Colorado
                    Denver, Colorado","Starting at $91,753 Per Year (GS 12)",Data Analyst
Supervisory Operations Research Analyst,US ARMY HUMAN RESOURCES COMMAND (DRU),Department of the Army,"Fort Knox, Kentucky
                    Fort Knox, Kentucky","Starting at $116,393 Per Year (GS 14)",Data Analyst
Budget Analyst,Animal and Plant Health Inspection Service,Department of Agriculture,"West Valley City, Utah
                    West Valley City, Utah","Starting at $57,118 Per Year (GS 9-11)",Data Analyst
Management and Program Analyst,Federal Highway Administration,Department of Transportation,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Data Analyst
MANAGEMENT AND PROGRAM ANALYST,Federal Trade Commission,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13)",Data Analyst
Management Analyst,U.S. Army Joint Munitions Command,Department of the Army,"Richmond, Kentucky
                    Richmond, Kentucky","Starting at $69,107 Per Year (GS 11)",Data Analyst
Management and Program Analyst,Department of Energy - Agency Wide,Department of Energy,Multiple Locations,"Starting at $57,118 Per Year (GS 9-15)",Data Analyst
Management and Program Analyst,Department of Energy - Agency Wide,Department of Energy,Anywhere in the U.S. (remote job),"Starting at $57,118 Per Year (GS 9-15)",Data Analyst
Program Analyst,Patent and Trademark Office,Department of Commerce,"Dallas, Texas
                    Dallas, Texas","Starting at $74,961 Per Year (GS 11-12)",Data Analyst
Program Analyst,Patent and Trademark Office,Department of Commerce,"Dallas, Texas
                    Dallas, Texas","Starting at $74,961 Per Year (GS 11-12)",Data Analyst
Operations Research Analyst (Talent Analysis),US Army Civilian Human Resources Agency,Department of the Army,Anywhere in the U.S. (remote job),"Starting at $78,592 Per Year (GS 11-13)",Data Analyst
Management Analyst,Vet Customer Experience (VCE),Department of Veterans Affairs,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $112,015 Per Year (GS 13)",Data Analyst
